CI ID,Name,Alias,Approval group,Managed by,Support group,Manufacturer/Vendor,Short Description,Assigned to,Business criticality,Class,Comments,Consumer type,Created by,Domain,Managed By Group,Parent,Problem Manager Group,Problem Owner Group,Product Owner Executive,Product Owner,Revenue Impact,Service Executive ,Service Owner,Service Team,Supported by,Updated by,Text,n_tokens,index
CI000007819, Fidelity Retirement Plans and Stock Administration,Fidelity,mhubHR-ITMarriott-APPRV,Angela Godwin,mhubHR-ITMarriott-Support,,"This app is the MI Shares program for some of Marriott's executive team.  Fidelity is the administrator of the program.  It offers a grant of restricted stock units that vest over a fixed time period.
Request to delete BS.",,4 - not critical,Business Service,CI updated as per: RITM003510404,,kabinaya,global,,,,GT-HR-PROB,,,Revenue Generating,Sanchita Sarkar,Divya Shahani,Corporate Systems,,snair009,CI ID: CI000007819; Name: Fidelity Retirement Plans and Stock Administration; Alias: Fidelity; Approval group: mhubHR-ITMarriott-APPRV; Managed by: Angela Godwin; Support group: mhubHR-ITMarriott-Support; Manufacturer/Vendor: ; Short Description: This app is the MI Shares program for some of Marriott's executive team.  Fidelity is the administra; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: CI updated as per: RITM003510404; Consumer type: ; Created by: kabinaya; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: GT-HR-PROB; Product Owner Executive: ; Product Owner: ; Revenue Impact: Revenue Generating; Service Executive : Sanchita Sarkar; Service Owner: Divya Shahani; Service Team: Corporate Systems; Supported by: ; Updated by: snair009,209,0
CI000539436,4Sight Budgeting and Forecasting Tool,,Global Service Desk-APPRV,Bruce Nguyen,Tier-1-Technical-Support-EG,,,,4 - not critical,Business Service,Updated attributes as per RITM002174414,,rthomas@runbox.com,global,,,,,,,,Naveen Manga,Divya Shahani,Corporate Systems,,cspha088,CI ID: CI000539436; Name: 4Sight Budgeting and Forecasting Tool; Alias: ; Approval group: Global Service Desk-APPRV; Managed by: Bruce Nguyen; Support group: Tier-1-Technical-Support-EG; Manufacturer/Vendor: ; Short Description: ; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: Updated attributes as per RITM002174414; Consumer type: ; Created by: rthomas@runbox.com; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Naveen Manga; Service Owner: Divya Shahani; Service Team: Corporate Systems; Supported by: ; Updated by: cspha088,177,1
CI000553739,Above Property LAN Services,,Network-Datacenter-Cloud-Ops-APPRV,,Network-Datacenter-Cloud-Ops,,"Add support services to above-property locations as required to install, maintain and decommission equipment and software to support above property business Applications.",,3 - less critical,Business Service,Imported by rthomas,,rthomas@runbox.com,global,,,,,,,,Matthew Barczak,Allen Shen,Infrastructure – Network,,cspha088,"CI ID: CI000553739; Name: Above Property LAN Services; Alias: ; Approval group: Network-Datacenter-Cloud-Ops-APPRV; Managed by: ; Support group: Network-Datacenter-Cloud-Ops; Manufacturer/Vendor: ; Short Description: Add support services to above-property locations as required to install, maintain and decommission e; Assigned to: ; Business criticality: 3 - less critical; Class: Business Service; Comments: Imported by rthomas; Consumer type: ; Created by: rthomas@runbox.com; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Matthew Barczak; Service Owner: Allen Shen; Service Team: Infrastructure – Network; Supported by: ; Updated by: cspha088",184,2
CI084125824,Accertify - Fraud and Risk,,Accertify-Fraud-and-Risk-check-APPRV,Kathleen Ploof,CorpSys-ITBPP-ITToolsOther-Support-AMER,,,,Tier 2,Business Service,,,ezhai301,global,,,,,,,,Kathleen Ploof,Catherine Watkins,,,ijess202,CI ID: CI084125824; Name: Accertify - Fraud and Risk; Alias: ; Approval group: Accertify-Fraud-and-Risk-check-APPRV; Managed by: Kathleen Ploof; Support group: CorpSys-ITBPP-ITToolsOther-Support-AMER; Manufacturer/Vendor: ; Short Description: ; Assigned to: ; Business criticality: Tier 2; Class: Business Service; Comments: ; Consumer type: ; Created by: ezhai301; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Kathleen Ploof; Service Owner: Catherine Watkins; Service Team: ; Supported by: ; Updated by: ijess202,169,3
BSN0002761,Accessories/Peripherals,Accessories/Peripherals,LAW-SOS-APPRV-AMER,David Sanders,LAWSOS-Support-AMER,,LAWSOS,,Tier 5,Business Service,,Internal,ijess202,global,,,,,,,,Gerald Nguyen,David Sanders,,,ijess202,CI ID: BSN0002761; Name: Accessories/Peripherals; Alias: Accessories/Peripherals; Approval group: LAW-SOS-APPRV-AMER; Managed by: David Sanders; Support group: LAWSOS-Support-AMER; Manufacturer/Vendor: ; Short Description: LAWSOS; Assigned to: ; Business criticality: Tier 5; Class: Business Service; Comments: ; Consumer type: Internal; Created by: ijess202; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Gerald Nguyen; Service Owner: David Sanders; Service Team: ; Supported by: ; Updated by: ijess202,160,4
CI000007927,Accordex DocView (Terminal Emulator for Fosse & FS PMS),,GWS-Conf&Collab-APPRV,Bruce Nguyen,Remote-Technology-Support-ENG,,,,1 - most critical,Business Service,,,kabinaya,global,,,,,,,,Jared Spindler,Nicholas Bulmer,,,admin,CI ID: CI000007927; Name: Accordex DocView (Terminal Emulator for Fosse & FS PMS); Alias: ; Approval group: GWS-Conf&Collab-APPRV; Managed by: Bruce Nguyen; Support group: Remote-Technology-Support-ENG; Manufacturer/Vendor: ; Short Description: ; Assigned to: ; Business criticality: 1 - most critical; Class: Business Service; Comments: ; Consumer type: ; Created by: kabinaya; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Jared Spindler; Service Owner: Nicholas Bulmer; Service Team: ; Supported by: ; Updated by: admin,166,5
CI004192108,achotels.marriott.com,,Incident-Mgmt-DigitalAndReservations-L2-APPRV,Grace Chorey,Digital-Content-Support,Marriott International,"
------------------------------------------------------------------------------------------------------
Now part of the Marriott eco-system

================================================================
EAA Master ID = 
Original 70 = No
Original 70 ID = 
Top 25 = No
Revenue Generating = No
Parent Business Service = Marriott.com
Business Domain = Web / M.com
APS-Config-TM = Padma Neelagaru
B2B Status = Complete
Simple Dependency Status = NA
Service Map Status = NA
Validated = 20200110
VBy = Joseph, Blake <Blake.Joseph@marriott.com>",,3 - less critical,Business Service,Updated details as per RITM004282638,,ezhai301,global,,Adobe Experience Manager - Platform,ProblemManager_APS-PROB,,,,,Grace Chorey,Grace Chorey,Application Production Support,PADMA NEELAGARU,pgarg688,CI ID: CI004192108; Name: achotels.marriott.com; Alias: ; Approval group: Incident-Mgmt-DigitalAndReservations-L2-APPRV; Managed by: Grace Chorey; Support group: Digital-Content-Support; Manufacturer/Vendor: Marriott International; Short Description: ----------------------------------------------------------------------------------------------------; Assigned to: ; Business criticality: 3 - less critical; Class: Business Service; Comments: Updated details as per RITM004282638; Consumer type: ; Created by: ezhai301; Domain: global; Managed By Group: ; Parent: Adobe Experience Manager - Platform; Problem Manager Group: ProblemManager_APS-PROB; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: Application Production Support; Supported by: PADMA NEELAGARU; Updated by: pgarg688,196,6
CI000539439,ACT!,,Global Service Desk-APPRV,Bruce Nguyen,Tier-1-Technical-Support-EG,,Vendor,,4 - not critical,Business Service,Details updated as per RITM004282655,,rthomas@runbox.com,global,,,,,,,,Grace Chorey,Grace Chorey,,,pgarg688,CI ID: CI000539439; Name: ACT!; Alias: ; Approval group: Global Service Desk-APPRV; Managed by: Bruce Nguyen; Support group: Tier-1-Technical-Support-EG; Manufacturer/Vendor: ; Short Description: Vendor; Assigned to: ; Business criticality: 4 - not critical; Class: Business Service; Comments: Details updated as per RITM004282655; Consumer type: ; Created by: rthomas@runbox.com; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : Grace Chorey; Service Owner: Grace Chorey; Service Team: ; Supported by: ; Updated by: pgarg688,166,7
CI004960081,Active Directory,Directory Services,GWS-DirServices-APPRV,Albert Simmons III,GWS-Messaging-Collaboration-Ops,,"This Business Service Category encompasses all services/solutions/products associated with Directory Services (i.e. - Active Directory, Azure AD, etc.)",,2 - somewhat critical,Business Service,,,jbhow340,global,,,,,,,,James Scholefield,Albert Simmons III,GWS,,system,CI ID: CI004960081; Name: Active Directory; Alias: Directory Services; Approval group: GWS-DirServices-APPRV; Managed by: Albert Simmons III; Support group: GWS-Messaging-Collaboration-Ops; Manufacturer/Vendor: ; Short Description: This Business Service Category encompasses all services/solutions/products associated with Directory; Assigned to: ; Business criticality: 2 - somewhat critical; Class: Business Service; Comments: ; Consumer type: ; Created by: jbhow340; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : James Scholefield; Service Owner: Albert Simmons III; Service Team: GWS; Supported by: ; Updated by: system,171,8
CI073376512,Active Directory (Development),Active Directory (Dev),C&WPSE-APPRV,Ashish Tiwari,GWS-Messaging-Collaboration-Ops,,,,3 - less critical,Business Service,,,ezhai301,global,,,,,,,,James Scholefield,Albert Simmons III,,,admin,CI ID: CI073376512; Name: Active Directory (Development); Alias: Active Directory (Dev); Approval group: C&WPSE-APPRV; Managed by: Ashish Tiwari; Support group: GWS-Messaging-Collaboration-Ops; Manufacturer/Vendor: ; Short Description: ; Assigned to: ; Business criticality: 3 - less critical; Class: Business Service; Comments: ; Consumer type: ; Created by: ezhai301; Domain: global; Managed By Group: ; Parent: ; Problem Manager Group: ; Problem Owner Group: ; Product Owner Executive: ; Product Owner: ; Revenue Impact: ; Service Executive : James Scholefield; Service Owner: Albert Simmons III; Service Team: ; Supported by: ; Updated by: admin,162,9
