"name","u_company","manager","u_group_category","description","vendors","u_location","u_location.company","sys_id"
" Property-APPRV1-Greater China","Marriott","Katja Zuras","Approval","Property Approver1 for Greater China","","","","3414437d1b0b60543fdea79b2d4bcbeb"
" ZA-Tier1-APPRV","Marriott","Jacques Steyn","Approval","Approval group for ZA-Tier1.","","","","b1e68bdadb7d434cb3375e65ce961934"
"AAD-ASSAABLOY-Support-US-CAN","AHS","Woju Worabo","Assignment","Associate Alert Device by Service Provider: Assa Abloy; support","","","","2cd40f9a1baf7854b7bf10ad2d4bcb7d"
"AAD-ATT-Support-US-CAN","AHS","Woju Worabo","Assignment","Associate Alert Device by Service Provider: AT&T; support","","","","0212d8de1bab3890cbc4b9541a4bcb83"
"AAD-EKS-PROB","Marriott","Michael Swenson","Assignment","EKS Problem Support","","","","99486a0787e506dc417f8774dabb351d"
"AAD-EKS-Support","Marriott","Katie Agnew","Assignment","EKS Containers support team for EKS clusters","","","","7916166697b17998968337cfe153afbc"
"AAD-PwC-Support-US-CAN","AHS","Woju Worabo","Assignment","PwC Associate Alert Device by Service Provider: PwC; support","","","","f9c4c79a1baf7854b7bf10ad2d4bcbbb"
"AAD-TMPA-Support","Marriott","Courtney Hart","Assignment","TMPA Support Team for Bellhop and TFC","","","","e06abc4147102690c7f0a91fe16d436c"
"Above-Property-Approval-MEA","Marriott","","Assignment","MEA Above Property Offices Approval","","","","10cf232bdbaa5f40b355dda5ca961999"
"Above-Property-IT-Support-MEA","Marriott","Sunil Kumar Kulamgarath","Assignment","Marriott MEA Above Property IT","","","","c3a3eb45db7debc4fbcff3451d96195e"
"Above-Property-IT-Support-MEA-APPRV-EMEA","Marriott","Mohamed Esam","Approval","APPV for Saudi Tax Authority application","","","","2b62626e47510294c8f6b4ae436d43ba"
"ABP-MHD-Support","Marriott","Cinta Celma","Assignment","Provide MARSHA support for Age Based Pricing","","","","eb2b45c4dbb67f40cd5782ba0b9619e7"
"Accenture Compliance Team","ACC – SWI","Tarnistha Das","Assignment","For IT GRC","","","","8850eecddbd7f300b478502bdc961933"
"AccentureReporting-Support","Accenture","Jo Mari Lampong","Assignment","This will serve as a group for Accenture people needing to run reports for SLA purposes.","","","","627e48aedb6c130c2d42a026ca9619ce"
"Accertify-Fraud-and-Risk-check-APPRV","Accenture","Thomas Gilligan","Approval","Accertify is Third Party saas product managed and supported by Accertify.  Accertify performs credit card fraud and risk verification 
","","","","03e093afdbd9281032e10bb6f4961971"
"Account-Tracking-Dev-Team-Dev","IBM","Smruti Pradhan","Assignment","This group is required to support account tracking initiatives ","","","","3a3d41354758ed945ddbe6b5536d4359"
"Accounts-Product-Team-Dev","Mindtree","Saurabh Narula","Assignment","Support M.com- accounts related features  development and support prod level incident tickets","","","","55edb5dd8727e514b3b162c83cbb357a"
"Accounts-Product-Team-Dev-PROB","Marriott","NIVAZ SHARMA SAMBATH KUMAR","Assignment","We do have  a RCA group 'Accounts-Product-Team-Dev'. But unable to reuse the same as the problem owner. Either enable the same group as problem owner or we can have a new group for problem owner","","","","a0be396183a512908c1c51e0deaad3c8"
