"u_ci_id","name","u_alias","short_description","support_group","managed_by_group","u_product_owners","parent","u_service_team","u_problem_owner_group","u_problem_manager_group","u_service_executive","owned_by","managed_by","change_control","assignment_group","u_product_owner_exe","manufacturer","assigned_to","sys_domain","comments","busines_criticality","sys_class_name","consumer_type","sys_created_by","u_revenue_impact","supported_by","sys_updated_by"
"CI000007928","FOSSE-PMS Support","","Top 25 = Yes Revenue Generating = Yes","PMS-FOSSE-Help-Desk-Support","","","","GO & Empower App Dev & Support","PMS-FOSSE-PROB","ProblemManager_APS-PROB","Jared Spindler","Nicholas Bulmer","Yazir Soriano","PMS-FOSSE-Helpdesk-APPRV-AMER","","","","","global","Retired as per RITM003055736","1 - most critical","Business Service","","kabinaya","Revenue Generating","","achak688"
"CI009136766","Full Service PMS (QA)"," Full Service PMS (QA)","Full Service PMS QA","PMS-FSPMS-Quality","","","","GO & Empower App Dev & Support","","ProblemManager_APS-PROB","Jared Spindler","Nicholas Bulmer","Anthony Rois","PMS-FSPMS-APPRV-AMER","","","","","global","","2 - somewhat critical","Business Service","","qdtra087","None","","achak688"
"CI000539510","FOSSE Remote (RSVP)","","FOSSE.RSVP@marriott.com","PMS-FOSSE-Dev","","","","GO & Empower App Dev & Support","","ProblemManager_APS-PROB","Jared Spindler","Nicholas Bulmer","Nicholas Bulmer","PMS-FOSSE-APPRV","","","","","global","","4 - not critical","Business Service","","rthomas@runbox.com","None","","achak688"
"CI000713962","FOSSE PMS Development","FOSSE Development","Development related service for Front Office System Select Extend (FOSSE) Property Management System  for Marriott Select Brands (MSB) properties (US and Canada).  ","PMS-FOSSE-Dev","","","","GO & Empower App Dev & Support","PMS-FOSSE-PROB","ProblemManager_APS-PROB","Jared Spindler","Nicholas Bulmer","David Ashby","PMS-FOSSE-APPRV","","","Marriott International","","global","","2 - somewhat critical","Business Service","","jbhow340","None","","achak688"
"CI000598092","Global Recipe Database (GRD)","","Global recipe management database used by Food and Beverage/Culinary","GlobalOps-MarriottMgdApps-MobileKey-RCDelphi-Spa-Support","","","","GO & Empower App Dev & Support","","ProblemManager_APS-PROB","Jared Spindler","Nicholas Bulmer","","GlobalOps-MarriottMgdApps-MobileKey-RCDelphi-Spa-APPRV","","","","","global","","3 - less critical","Business Service","","dcasillo","None","","achak688"
"CI000598097","ScerIS","","Report archival application used by sites with FSPMS","PMS-FSPMS-Help-Desk-Support","","","","GO & Empower App Dev & Support","","ProblemManager_APS-PROB","Jared Spindler","Nicholas Bulmer","William Amland","GlobalOps-MarriottMgdApps-GstExp-Eng-APPRV","","","","","global","","3 - less critical","Business Service","","dcasillo","None","","achak688"
"BSN0002149","Aqua Supply Chain","Aqua Supply Chain","Aqua Supply Chain is a solution by Aqua Security that secures the entire software development lifecycle (SDLC) for cloud-native applications. It provides tools for code scanning, CI/CD posture management, pipeline security, and open-source health assessments to prevent vulnerabilities and ensure the integrity of software from development to deployment.","Application-Security-Support-AMER","Application-Security-Support-AMER","","","","","","Stanley Foreman","Andre Chin","David Burress","Application-Security-APPRV-AMER","","Pedro Alvarez","Aqua Security Software Inc","","global","CI updated as per: RITM002817043","Tier 3","Business Service","Internal","ijess202","None","","adchi457"
"BSN0001947","Aqua Container Security","Aqua CSP","Aqua CSP secures containerized applications throughout their lifecycle by providing vulnerability scanning, runtime protection, compliance enforcement, and CI/CD pipeline integration for robust cloud-native security.","Application-Security-Support-AMER","Application-Security-Support-AMER","","","","","","Stanley Foreman","Andre Chin","David Burress","Application-Security-APPRV-AMER","","Pedro Alvarez","Aqua Security Software Inc","","global","","Tier 3","Business Service","Internal","ijess202","None","","adchi457"
"BSN0002045","Code Assurance Platform","CAP","CAP (Code Assurance Platform) is an internally developed solution by Marriott's Application Security Team, designed to integrate seamlessly into the software development lifecycle while addressing a wide range of application security needs. CAP not only orchestrates static application security testing (SAST) but also integrates with a variety of specialized tools such as secret scanners, interactive application security testing (IAST) tools, and bespoke internal solutions. This comprehensive approach ensures the identification and management of diverse software flaws, from sensitive data exposure to runtime vulnerabilities, all within a single platform.

Tailored specifically for Marriott, CAP enables streamlined workflows by automating the detection and propagation of security issues across integrated systems, including code repositories and ticketing tools. With its ability to consolidate findings from multiple scanners and provide actionable insights within developer environments, CAP empowers teams to address vulnerabilities early in the development process. ","Application-Security-Support-AMER","Application-Security-Support-AMER","","","GIS","","","Stanley Foreman","Andre Chin","Michael Palmer","Application-Security-APPRV-AMER","","Pedro Alvarez","Marriott International","","global","","Tier 3","Business Service","Internal","ijess202","None","","adchi457"
"BSN0002139","Akamai Kona Site Defender","Akamai  Kona Site Defender","Akamai Kona Site Defender is a cloud-based solution designed to protect websites and web applications from cyber threats, including distributed denial-of-service (DDoS) attacks, malicious bots, and application-layer vulnerabilities such as SQL injection and cross-site scripting (XSS). Built on Akamai's globally distributed content delivery network (CDN), it provides robust security and performance. The platform offers an advanced web application firewall (WAF) combined with real-time DDoS protection, leveraging Akamai's threat intelligence to detect and mitigate attacks before they impact operations. ","AKAMAI-WAF-Support-US-CAN","Edge-Security-Support-APPRV","","","GIS","","","Stanley Foreman","Andre Chin","Sushmanth Koneti","Edge-Security-Support-APPRV","","Pedro Alvarez","Akamai Technologies, Inc","","global","","Tier 2","Business Service","Internal","ijess202","Revenue Impacting (Non-Revenue Generating)","","adchi457"
"CI083132118","reslink-app","","Service Map Status = New","","","","","Application Production Support","","ProblemManager_APS-PROB","Alison Bailine","Daniel McCarron","","","","","","","global","Attributes updated as per RITM004304585","1 - most critical","Tag-Based Application Service","","ezhai301","None","PADMA NEELAGARU","admin"
"BSN0001155","Linux OS - Enterprise","","(1) Request type = Add or Build - Use this service to request a Linux OS Server Build.
(2) Request type = Research - Use this service to request Racking Services research.
(3) Request type = Decommission - Use this service to request a server or appliance un-rack.  
(4) Request type = Validate - Use this service to request Linux OS Hardware/Network Cable Checks-Validation.
(5) Request Type = Configure - Use this service to configure clustered environments/File Systems. 
(6) Request Type = Monitor - Use this service to monitor server performance.

IJJ Private/Public/Enterprise","ICD-Enterprise-Systems-Infrastructure","","","","Infrastructure – IaaS","","","Adnan Haq","Matthew Barczak","Saket Goenka","ICD-Enterprise-Systems-APPRV","","","","","global","Imported by rthomas","Tier 3","Business Service","Internal","ijess202","None","","admin"
"BSN0001585","Expedia - Certificates ","Expedia GPS","","Product-Technology-Management-Web-Support","","","","","","","Geoffrey Renaldo","Kevin Irwin","Kevin Irwin","Product-Technology-Management-Web-APPRV-US-CAN","","","","","global","","Tier 1","Business Service","Internal","ijess202","None","","admin"
